cast,Number_MoviesShows,score
 ,1,20.0
  Ambyr Childers,1,38.0
  Ben Welden,1,3.0
  Benicio Del Toro,1,75.0
  Danny Huston,1,75.0
  Eric Sinclair,1,3.0
  Frank Jenks,1,3.0
  Isabel Randolph,1,3.0
  Jonathan Keltz,1,38.0
  Jr.,1,37.0
  Naomi Watts,1,75.0
  Paul Guilfoyle,1,3.0
  Toby Hemingway,1,38.0
" ""Big Feggans",1,44.0
" ""Riley"" Lakdhar Dridi",1,62.0
 20TH_CENTURY_FOX,1,58.0
 20th_Century_Fox,1,58.0
 50 Cent,2,41.0
 A.D. Miles,1,48.0
 A.J. Cook,1,26.0
 A.K. Hangal,3,26.0
 AFRA,1,79.0
 AL MADRIGAL,1,67.0
 ANNA MIKAMI,1,67.0
 Aadar Jain,1,21.0
 Aadarsh Balakrishna,1,61.0
 Aadhav Kannadasan,1,15.0
 Aadhi Pinisetty,1,35.0
 Aadhya Anand,1,43.0
 Aadukalam Naren,2,14.5
 Aahana Kumra,1,47.0
 Aakash Dabhade,1,81.0
 Aakshath Das,1,42.0
 Aamir Ahmed,1,10.0
 Aamir Bashir,2,34.5
 Aamir Khan,3,50.0
 Aarif Rahman,1,45.0
 Aaron Abrams,1,27.0
 Aaron Altaras,1,83.0
 Aaron Ashmore,1,47.0
 Aaron Burns,1,51.0
 Aaron D. Spears,1,19.0
 Aaron Dismuke,1,76.0
 Aaron Douglas,1,52.0
 Aaron Eckhart,2,62.0
 Aaron Himelstein,1,49.0
 Aaron Jeffery,1,50.0
 Aaron Landon,1,24.0
 Aaron Marshall,1,71.0
 Aaron Mitchell,1,23.0
 Aaron Neville,1,31.0
 Aaron Norris,1,22.0
 Aaron Paul,1,53.0
 Aaron Pearl,1,43.0
 Aaron Sanders,1,66.0
 Aaron Stanford,1,45.0
 Aaron Taylor-Johnson,1,63.0
 Aaron Wolff,1,78.0
 Aaron Yoo,1,47.0
 Aarti Chhabria,1,39.0
 Aarubala,1,29.0
 Aarón Díaz,1,37.0
 Aashish Chaudhary,2,36.0
 Aashish Kulkarni,1,9.0
 Aasif Mandvi,3,50.666666666666664
 Aayam Mehta,1,14.0
 Abbas,1,13.0
 Abbie Cobb,1,20.0
 Abbie Cornish,2,60.0
 Abby Donnelly,2,29.0
 Abby Jacoby-Thompson,1,10.0
 Abby Ross,1,39.0
 Abby Trott,1,28.0
 Abdalla Mahmoud,1,53.0
 Abdellah Didane,1,46.0
 Abdo Chahine,1,34.0
 Abdul Qadir,1,15.0
 Abdulateif Saud,1,18.0
 Abdullah Moshref,1,37.0
 Abdur Arsyad,1,13.0
 Abdurrahman Arif,2,22.5
 Abe Clifford-Barr,1,65.0
 Abe Goldfarb,2,35.0
 Abe Vigoda,2,56.0
 Abeer Abrar,1,72.0
 Abeer Alotaibi,1,16.0
 Abel Ayala,1,37.0
 Abel Ferrara,1,13.0
 Abel Folk,1,52.0
 Abel Franco,1,37.0
 Abel McSurely Bradshaw,1,58.0
 Abel Tesfaye,1,78.0
 Abella Wyss,1,42.0
 Abhay Deol,2,29.5
 Abhay Mahajan,1,22.0
 Abhicha Thanachanun,1,38.0
 Abhimanyu Singh,1,14.0
 Abhinav Sharma,1,39.0
 Abhirami,1,35.0
 Abhishek Bachchan,3,59.0
 Abhishek Banerjee,3,37.0
 Abhishek Kale,1,76.0
 Abhishek Sharrma,1,59.0
 Abi Brittle,1,74.0
 Abi Hassan,1,21.0
 Abigail Breslin,3,61.666666666666664
 Abigail Cruttenden,1,50.0
 Abigail Eames,1,39.0
 Abimana Aryasatya,1,74.0
 Abir Goswami,1,69.0
 Abish Mathew,1,47.0
 Abish Matthew,1,30.0
 Abraham Attah,1,78.0
 Abraham Benrubi,1,41.0
 Abraham Lim,1,65.0
 Abril Zamora,1,70.0
 Abu Valayamkulam,1,29.0
 Abun Sungkar,1,15.0
 Ace Harney,1,15.0
 Acha Septriasa,1,18.0
 Achala Sachdev,2,55.0
 Achyut Potdar,1,27.0
 Ada Choi,1,12.0
 Ada Pan,1,37.0
 Adah Sharma,1,31.0
 Adam Alexi-Malle,1,40.0
 Adam Arkin,2,71.0
 Adam Barrett,1,37.0
 Adam Beach,2,30.0
 Adam Brody,1,36.0
 Adam Burnette,1,45.0
 Adam Bussell,1,22.0
 Adam Butcher,1,56.0
 Adam Carolla,1,31.0
 Adam Croasdell,1,81.0
 Adam David Thompson,2,66.5
 Adam DeVine,1,23.0
 Adam Deacon,2,12.0
 Adam Demos,1,48.0
 Adam Devine,1,46.0
 Adam DiMarco,1,57.0
 Adam Driver,2,79.5
 Adam Ferrara,1,24.0
 Adam Fogerty,1,58.0
 Adam Garcia,2,26.5
 Adam Gillen,1,14.0
 Adam Gradowski,1,72.0
 Adam Gregor,1,58.0
 Adam Herschman,2,45.5
 Adam Hurtig,1,35.0
 Adam Jezierski,1,21.0
 Adam Johnson,1,15.0
 Adam LaVorgna,1,43.0
 Adam LeFevre,2,46.5
 Adam Levine,2,42.5
 Adam Levy,1,76.0
 Adam Lustick,1,24.0
 Adam Mayfield,1,58.0
 Adam Nagaitis,1,56.0
 Adam Nawojczyk,1,41.0
 Adam Nee,1,58.0
 Adam Pally,3,60.666666666666664
 Adam Rayner,1,47.0
 Adam Rose,1,43.0
 Adam Scott,6,55.0
 Adam Seybold,1,36.0
 Adam Shapiro,2,78.5
 Adam Silver,1,13.0
 Adam Storke,1,66.0
 Adam Taylor,1,71.0
 Adam Weppler,1,32.0
 Adam West,1,52.0
 Adam Wietrzyński,1,67.0
 Adam Willits,1,42.0
 Adam Wylie,1,27.0
 Adam Zolotin,1,46.0
 Adama Niane,1,11.0
 Adan Canto,1,51.0
 Adarsh Gourav,1,46.0
 Addison Ross,1,10.0
 Addison Timlin,1,54.0
 Adeel Akhtar,1,82.0
 Adeel Hashmi,1,19.0
 Adel Bencherif,3,40.0
 Adelfa Calvo,2,58.5
 Aden Young,2,65.0
 Adesua Etomi,1,9.0
 Adetokumboh M'Cormack,2,62.5
 Adewale Akinnuoye-Agbaje,1,66.0
 Adi Kvetner,1,59.0
 Adi Lev,1,59.0
 Adibah Noor,1,30.0
 Adil Dehbi,1,73.0
 Adil Hussain,5,48.6
 Adina Porter,1,76.0
 Adinia Wirasti,1,18.0
 Adipati Dolken,1,31.0
 Adisa Anderson,1,74.0
 Aditi Deshpande,1,4.0
 Aditi Mittal,1,18.0
 Aditi Rao Hydari,6,44.333333333333336
 Aditi Sharma,1,50.0
 Aditi Singh Sharma,1,18.0
 Aditi Vasudev,1,46.0
 Aditya Hitkari,1,61.0
 Aditya Kumar,2,42.0
 Aditya Narayan,1,55.0
 Aditya Roy Kapoor,3,58.666666666666664
 Aditya Roy Kapur,2,53.5
 Aditya Seal,1,14.0
 Aditya Sharma,1,51.0
 Aditya Srivastava,2,64.5
 Adjany Costa,1,21.0
 Adjoa Andoh,1,74.0
 Adolfo Fernández,1,62.0
 Adreea Diac,1,39.0
 Adrian Grenier,2,44.5
 Adrian Grösser,1,88.0
 Adrian Hall,1,69.0
 Adrian Julius Tillmann,1,71.0
 Adrian Lester,2,60.5
 Adrian Majewski,1,32.0
 Adrian Pang,1,15.0
 Adrian Pasdar,1,50.0
 Adrian Paul,1,28.0
 Adrian Petriw,1,64.0
 Adrian Rawlings,1,44.0
 Adrian Rawlins,1,14.0
 Adrian Truss,1,15.0
 Adriana Arango,1,62.0
 Adriana Barraza,1,56.0
 Adriana Silva,1,37.0
 Adriane Daff,1,62.0
 Adrianna Barraza,1,50.0
 Adrianna Biedrzyńska,2,17.0
 Adrianna Edwards,1,27.0
 Adriano Garib,1,69.0
 Adriano Giannini,1,9.0
 Adrien Brody,1,37.0
 Adrienne Bailon,1,45.0
 Adrienne Barbeau,2,53.0
 Adrienne Pickering,2,57.5
 Adrienne Pierce,1,2.0
 Adrienne Rose White,1,24.0
 Adrián Ladrón,1,12.0
 Adrián Lastra,3,44.333333333333336
 Adrián Núñez,1,42.0
 Adrián Salzedo,1,44.0
 Adrián Stoppelman,1,51.0
 Adwa Fahad,1,18.0
 Adám Fekete,1,61.0
 Adèle Exarchopoulos,2,56.5
 Afdhal Yusman,1,30.0
 Affion Crockett,5,30.6
 Afra Saraçoğlu,1,11.0
 Aftab Shivdasani,3,26.0
 Aga Muhlach,1,28.0
 Agam Darshi,1,58.0
 Agata Kulesza,1,72.0
 Agathe Bonitzer,1,18.0
 Agathe Salzmann,1,28.0
 Aggy K. Adams,1,45.0
 Agne Grudite,1,54.0
 Agnes Kittelsen,1,72.0
 Agnese Graziani,1,82.0
 Agni Scott,1,55.0
 Agnieszka Grochowska,1,67.0
 Agnieszka Żulewska,1,39.0
 Agot Isidro,1,16.0
 Agustina Cabo,1,38.0
 Agustina Palma,1,30.0
 Agustín Bernal,1,70.0
 Agustín Jiménez,1,42.0
 Agyness Deyn,1,38.0
 Ahlam Al-Gritly,1,6.0
 Ahmad Khan,1,74.0
 Ahmad Mounir,1,19.0
 Ahmad Wafiq,1,12.0
 Ahmed Bedir,1,25.0
 Ahmed Benaissa,1,43.0
 Ahmed Boulane,1,62.0
 Ahmed Fathy,1,6.0
 Ahmed Fouad Selim,2,32.5
 Ahmed Khan,1,78.0
 Ahmed Saddam,1,49.0
 Ahmed Sultan,1,19.0
 Ahmed el-Sakka,1,28.0
 Ahmet Mümtaz Taylan,1,48.0
 Ahmet Pinar,1,58.0
 Ahmet Tansu Taşanlar,1,47.0
 Ahn Bo-hyun,1,75.0
 Ahn Hyo-min,2,20.0
 Ahn Hyo-seop,1,70.0
 Ahn Kil-kang,1,69.0
 Ahn Nae-sang,2,56.0
 Ahn Se-ha,1,70.0
 Ahn Seok-hwan,1,87.0
 Ahn Tae-hwan,1,60.0
 Ahna Capri,1,81.0
 Ahna O'Reilly,1,56.0
 Ahney Her,1,80.0
 Ahsaas Channa,1,28.0
 Ai Kakuma,1,58.0
 Ai Kayano,5,63.6
 Ai Nonaka,1,68.0
 Aida,1,8.0
 Aida López,1,56.0
 Aida Turturro,1,40.0
 Aidan Bristow,1,30.0
 Aidan Gillen,2,43.0
 Aidan Langford,1,51.0
 Aidan McArdle,1,15.0
 Aidan O'Sullivan,1,55.0
 Aidan Quinn,5,50.8
 Aidan Turner,1,18.0
 Aidan Wagner,1,55.0
 Aidee Walker,1,34.0
 Aiden Akpan,1,38.0
 Aiden Lovekamp,1,54.0
 Aiko Melendez,1,24.0
 Aila McCubbing,1,66.0
 Aimee Laurence,1,55.0
 Aimee Mullins,1,39.0
 Aimee Teegarden,1,37.0
 Ainy Jaffri,1,19.0
 Aisha Sharma,1,42.0
 Aisha Tyler,2,48.0
 Aishwarya Lekshmi,1,44.0
 Aishwarya Rai Bachchan,6,54.333333333333336
 Aishwarya Rajesh,1,12.0
 Aisling Bea,1,34.0
 Aislinn Derbez,2,36.0
 Aitana Sanchez-Gijon,1,20.0
 Aitana Sánchez-Gijón,1,74.0
 Aitor Luna,1,51.0
 Aitor Urtzelai,1,67.0
 Aixa Villagrán,1,67.0
 Aja Naomi King,1,9.0
 Ajanae Stephenson,1,10.0
 Ajay Devgn,4,28.0
 Ajay Ghosh,1,38.0
 Ajay Kumar Singh,1,8.0
 Ajay Mitra,1,79.0
 Ajay Nagrath,1,55.0
 Ajay Naidu,1,55.0
 Ajay Shankar,1,61.0
 Ajay Sharma,1,8.0
 Ajeba Aldosary,1,18.0
 Ajiona Alexus,1,31.0
 Ajuawak Kapashesit,1,63.0
 Akari Kito,1,43.0
