,director,Number_MoviesShows_dir,dir_average_score
0,20th_century_fox,1,58.0
1,A. L. Vijay,1,12.0
2,A.J. Murugan,1,28.0
3,A.R. Murugadoss,1,45.0
4,Aanand Rai,1,60.0
5,Aaron Burns,1,8.0
6,Aaron Mirtes,1,19.0
7,"Aaron Nee, Adam Nee",1,58.0
8,Aaron Norris,2,42.5
9,Aaron Sorkin,2,77.0
10,Aaron Woodley,1,41.0
11,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",1,46.0
12,Abdellatif Kechiche,1,76.0
13,Abdulaziz Alshlahei,1,18.0
14,Abel Ferrara,1,53.0
15,Abhinay Deo,3,41.333333333333336
16,Abhishek Kapoor,3,56.0
17,Abhishek Sharma,1,61.0
18,Abhishek Varman,2,49.5
19,Abir Sengupta,1,14.0
20,Adam Bhala Lough,1,43.0
21,Adam Bolt,1,76.0
22,Adam Dubin,1,78.0
23,Adam Egypt Mortimer,1,62.0
24,Adam Leon,1,70.0
25,Adam MacDonald,1,63.0
26,Adam McKay,1,66.0
27,Adam Ripp,1,22.0
28,Adam Rodgers,1,58.0
29,Adam Shankman,2,64.0
30,Adam Sjöberg,1,9.0
31,Adam Smith,1,47.0
32,Adam Wood,1,69.0
33,"Adil El Arbi, Bilall Fallah",1,48.0
34,Aditya Chopra,2,78.5
35,Aditya Kripalani,1,17.0
36,Adrian Grunberg,1,50.0
37,Adrian Langley,1,38.0
38,Adrian Panek,1,43.0
39,Adrian Teh,2,23.5
40,Adrián García Bogliano,1,30.0
41,Advait Chandan,1,78.0
42,Ahishor Solomon,1,21.0
43,Ahmad El-Badri,1,16.0
44,Ahmed El Gendy,1,21.0
45,Ahmed Saleh,1,13.0
46,Ahmet Katıksız,1,47.0
47,Ahn Byoung-wook,1,28.0
48,Aidan Belizaire,1,8.0
49,Ajay Bahl,1,61.0
50,Ajay Devgn,1,39.0
51,Akarsh Khurana,1,67.0
52,Akiva Goldsman,1,50.0
53,"Akiyuki Shinbo, Nobuyuki Takeuchi",1,51.0
54,Akshay Roy,1,47.0
55,Alain Desrochers,1,64.0
56,Alan Alda,1,56.0
57,Alan Ball,1,70.0
58,Alan Barillaro,1,86.0
59,Alan J. Pakula,1,63.0
60,Alan Metzger,1,13.0
61,Alan Parker,2,66.0
62,Alan Rickman,1,57.0
63,Alastair Fothergill,1,84.0
64,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",1,87.0
65,Albert Herman,1,3.0
66,Albert Maysles,1,77.0
67,Albert Pyun,1,26.0
68,Alberto Lattuada,1,35.0
69,Alejandra Márquez Abella,1,28.0
70,Alejandro Agresti,1,65.0
71,"Alejandro De Grazia, Juan Stadler",1,9.0
72,Alejandro Fernández Almendras,1,10.0
73,Alejandro G. Iñárritu,1,75.0
74,Alejandro Montiel,2,45.5
75,Alejo Mo-Sun,1,15.0
76,"Aleksandr Boguslavskiy, Francesco Cinquemani",1,36.0
77,Aleksandr Sery,1,73.0
78,Aleksey Tsitsilin,1,61.0
79,Alessandra de Rossi,1,14.0
80,Alessio Cremonini,1,76.0
81,Alethea Jones,1,47.0
82,"Alex Díaz, Marcos Bucay",1,7.0
83,Alex Garland,1,83.0
84,Alex Infascelli,1,55.0
85,Alex Israel,1,29.0
86,Alex Merkin,1,33.0
87,"Alex Parkinson, Richard da Costa",1,78.0
88,Alex Proyas,2,68.0
89,Alex R. Johnson,1,38.0
90,Alex Reis,1,77.0
91,Alex Richanbach,1,53.0
92,Alex Stapleton,1,32.0
93,Alex Turner,1,48.0
94,"Alex Woo, Stanley Moore",1,12.0
95,Alex Zamm,3,47.0
96,Alexander Gruszynski,1,24.0
97,"Alexander Holt, Lance Roehrig",1,62.0
98,Alexandra Dean,1,74.0
99,"Alexandra Kotchef, Hannah Leder",1,37.0
100,Alexandre Avancini,1,29.0
101,Alexandre Espigares,1,67.0
102,"Alexandre Heboyan, Benoît Philippon",1,75.0
103,Alexis Morante,1,37.0
104,Alf Kjellin,1,3.0
105,Alfred Gimeno,1,59.0
106,Alfred Hitchcock,1,79.0
107,Alfred Werker,1,66.0
108,Ali Abbas Zafar,2,59.5
109,Ali F. Mostafa,1,31.0
110,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer",1,16.0
111,Ali Scher,1,41.0
112,Ali Tabrizi,1,78.0
113,Alice Rohrwacher,1,82.0
114,Alison Chernick,1,75.0
115,Alison Klayman,1,72.0
116,Alison MacLean,1,61.0
117,Alistair Legrand,2,44.0
118,Allan Dwan,1,43.0
119,Allan Moyle,1,28.0
120,Allan Ungar,1,52.0
121,Allison Liddi-Brown,1,61.0
122,Alma Har'el,1,34.0
123,"Almudena Carracedo, Robert Bahar",1,67.0
124,Alyssa Rallo Bennett,1,24.0
125,Amaan Khan,1,47.0
126,Amber Tamblyn,1,64.0
127,Ameer,1,27.0
128,Ami Artzi,1,2.0
129,Ami Canaan Mann,1,56.0
130,Amin Dora,1,33.0
131,Amin Hajee,1,5.0
132,Amir Bar-Lev,1,75.0
133,Amit Roy,1,31.0
134,Amit Saxena,1,7.0
135,Amitoj Mann,1,24.0
136,Amol Palekar,1,54.0
137,Amole Gupte,1,28.0
138,Amr Arafa,2,32.5
139,Amro Salah,1,19.0
140,Amy Poehler,1,53.0
141,Amy Rice,1,24.0
142,Amy Schumer,1,34.0
143,Amy Segal,1,46.0
144,Amy Waddell,1,7.0
145,Anand Tucker,1,55.0
146,Anastasia Pappas,1,48.0
147,Andaç Haznedaroğlu,1,38.0
148,Andrea Arnold,1,72.0
149,Andrea Di Stefano,1,63.0
150,Andrea Molaioli,1,33.0
151,Andreas Johnsen,1,29.0
152,Andrew Adamson,2,68.5
