,title,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score,type,director,cast,country,release_year,rating,duration,description,score,imdbid,genre.Crime,genre.Drama,genre.Thriller,genre.Action,genre.Horror,genre.Science_Fiction,genre.Music,genre.Reality,genre.Romance,genre.Comedy,genre.Mystery,genre.Documentary,genre.History,genre.Teen,genre.Health_&_Wellness,genre.Lifestyle,genre.Culture,genre.Black_Stories,genre.News,genre.Latino,genre.Adventure,genre.Anime,genre.Talk_Show,genre.Sketch_Comedy,genre.Family,genre.Kids,genre.Classics,genre.LGBTQ,genre.Adult_Animation,genre.Sitcom,genre.Cooking_&_Food,genre.Sports,genre.Game_Shows,genre.International,genre.Cartoons,genre.Science_&_Technology,genre.Stand_Up,genre.Special_Interest,genre.Suspense,genre.TV_Shows,"genre.Arts,_Entertainment,_and_Culture",genre.Variety,genre.Fantasy,genre.Young_Adult_Audience,genre.Animation,genre.Western,genre.Arthouse,genre.Unscripted,genre.Faith_and_Spirituality,genre.Military_and_War,genre.Independent_Movies,genre.British_TV_Shows,genre.Romantic_Movies,genre.Musical,genre.Comedies,genre.Classic_Movies,genre.Kids'_TV,genre.Nature,genre.Cult,genre.Korean_TV_Shows,genre.Movies,genre.Biographical,genre.Superhero,genre.Coming_of_Age,genre.Anthology,genre.Buddy,genre.Parody,genre.Spy/Espionage,genre.Survival,genre.Soap_Opera_/_Melodrama,genre.Dance,genre.Medical,genre.Disaster
0,The Marksman,0.0,0.0,0.0,0.0,Movie,,,,2021,PG-13,108.0,A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,57.0,tt6902332,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Home Sweet Home,0.0,0.0,0.0,0.0,TV Show,,,,2021,PG,1.0,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay.",18.0,tt9636630,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,America's Book of Secrets,0.0,0.0,0.0,0.0,TV Show,,,United States,2012,TV-14,1.0,"America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",18.0,tt2198333,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Beyond Scared Straight,0.0,0.0,0.0,0.0,TV Show,,,United States,2011,TV-14,6.0,"Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",38.0,tt1707374,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Hoarders,0.0,0.0,0.0,0.0,TV Show,,,United States,2009,PG,7.0,Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,52.0,tt1497563,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Sleepwalker,0.0,0.0,0.0,0.0,Movie,,,,2017,TV-14,88.0,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,22.0,tt4185370,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Swamp People,0.0,0.0,0.0,0.0,TV Show,,,United States,2010,PG,3.0,"Deep in the heart of Louisiana lies America's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",46.0,tt1747551,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Unsolved,0.0,0.0,0.0,0.0,TV Show,,,,2019,,2.0,"More than 750 people are missing from Houston and the surrounding towns of the major Texas city. Among the missing are mothers written off by police as runaways. They are hardworking couples who have been targeted. And they are upstanding members of their community who simply slowed down to give someone a ride. Some have been found, their bodies dumped in the infamous Texas Killing Fields. Others have vanished and their cases gone cold. A year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. But, detectives quietly keep working. They work for the women whose stories are forgotten. They work for the families ripped apart by seemingly random attacks. DNA is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. But when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?",68.0,tt6233618,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Censor,0.0,0.0,0.0,0.0,Movie,,,,2021,,84.0,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,65.0,tt10329614,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,The Loneliest Whale: The Search for 52,0.0,0.0,0.0,0.0,Movie,,,,2021,PG,97.0,"A cinematic quest to find the “52 Hertz Whale.” As the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other.",35.0,tt2401814,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
