title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
The Marksman,,,57.0,,,,
Home Sweet Home,,,18.0,,,,
America's Book of Secrets,,,18.0,,,,
Beyond Scared Straight,,,38.0,,,,
Hoarders,,,52.0,,,,
Sleepwalker,,,22.0,,,,
Swamp People,,,46.0,,,,
Unsolved,,,68.0,,,,
Censor,,,65.0,,,,
The Loneliest Whale: The Search for 52,,,35.0,,,,
Gunda,,,78.0,,,,
Rogue Hostage,,,35.0,,,,
Jacinta,,,29.0,,,,
Castle,,,78.0,,,,
Maggie's Plan,,,65.0,,,,
The Program,,,63.0,,,,
Air Force One,,,66.0,,,,
Big Sky,,,59.0,,,,
Cake,,,34.0,,,,
Cedar Rapids,,,65.0,,,,
Clifford,,,45.0,,,,
Clockstoppers,,,46.0,,,,
Crimson Tide,,,77.0,,,,
Dead of Winter,,,61.0,,,,
Diary of a Wimpy Kid: Rodrick Rules,,,61.0,,,,
"Double, Double, Toil and Trouble",,,50.0,,,,
Exorcist: The Beginning,,,38.0,,,,
GoldenEye,,,73.0,,,,
Happy Feet,,,67.0,,,,
Happy Feet Two,,,57.0,,,,
House of Games,,,80.0,,,,
Intersection,,,40.0,,,,
Light It Up,,,58.0,,,,
Mad Max,,,72.0,,,,
Madhouse,,,39.0,,,,
Resident Evil: Retribution,,,48.0,,,,
Rushmore,,,79.0,,,,
Signs,,,67.0,,,,
Sleepless in Seattle,,,71.0,,,,
Species II,,,34.0,,,,
Species III,,,36.0,,,,
Species: The Awakening,,,33.0,,,,
Star Trek III: The Search for Spock,,,67.0,,,,
Star Trek IV: The Voyage Home,,,77.0,,,,
Star Trek VI: The Undiscovered Country,,,74.0,,,,
Star Trek: Generations,,,59.0,,,,
Star Trek: Nemesis,,,54.0,,,,
The Extreme Adventures of Super Dave,,,8.0,,,,
The Holiday,,,66.0,,,,
The Hunger Games,,,74.0,,,,
The Mask of Zorro,,,70.0,,,,
The Perfect Holiday,,,49.0,,,,
The Vow,,,59.0,,,,
