,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
1,s2,Movie,Silent Night,,,,23-Oct-21,2020,,94 min,"Crime, Drama, Thriller","Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job.",hulu,56.0,tt11628854,Crime
2,s3,Movie,The Marksman,,,,23-Oct-21,2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,hulu,57.0,tt6902332,Action
3,s4,Movie,Gaia,,,,22-Oct-21,2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,hulu,63.0,tt11881160,Horror
4,s5,Movie,Settlers,,,,22-Oct-21,2021,,104 min,"Science Fiction, Thriller",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,hulu,50.0,tt9373688,Science Fiction
8,s9,TV Show,Queens,,,,20-Oct-21,2021,TV-14,1 Season,"Drama, Music",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,hulu,57.0,tt14040910,Drama
9,s10,TV Show,The Bachelorette,,,United States,20-Oct-21,2003,TV-14,3 Seasons,"Reality, Romance","ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",hulu,47.0,tt0348894,Reality
11,s12,Movie,Dream Horse,,,,18-Oct-21,2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,hulu,74.0,tt9883996,Comedy
13,s14,TV Show,Wakefield,,,,18-Oct-21,2021,,1 Season,"Drama, Mystery","With a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse Nik Katira is the most stable person at Wakefield mental health unit in the picturesque Blue Mountains of Australia. But as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.",hulu,57.0,tt13556320,Drama
14,s15,TV Show,Home Sweet Home,,,,16-Oct-21,2021,TV-PG,1 Season,Reality,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay.",hulu,18.0,tt9636630,Reality
17,s18,TV Show,America's Book of Secrets,,,United States,15-Oct-21,2012,TV-14,1 Season,"Documentaries, History","America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",hulu,18.0,tt2198333,Documentaries
